# id: 'edgeR-sample-distances'
# section_name: 'MDS Plot'
# description: "show relatedness between samples in a project.
#             These values are calculated using <a href='https://bioconductor.org/packages/release/bioc/html/edgeR.html'>edgeR</a>
#             in the <a href='https://github.com/nf-core/rnaseq/blob/master/bin/edgeR_heatmap_MDS.r'><code>edgeR_heatmap_MDS.r</code></a> script."
# plot_type: 'scatter'
# anchor: 'ngi_rnaseq-mds_plot'
# pconfig:
#     xlab: 'Leading'
#     title: 'MDS Plot'
#     ylab: 'logFC'
,Leading logFC dim 1,Leading logFC dim 2
SRR7510102_1,0.562613937869033,0.666038612642148
SRR7510097_1,-0.945247053598227,1.12334153968676
SRR7510133_1,0.463723127002168,0.16721405744021
SRR7510120_1,0.496188405629499,0.247373936041931
SRR7510119_1,0.466696833507465,0.256561049304554
SRR7510129_1,0.471674262169699,0.149846793103303
SRR7510131_1,0.47879453660812,0.143454402165391
SRR7510083_1,-0.792087469169692,-0.805880435745046
SRR7510103_1,0.550874194506275,0.677308230873447
SRR7510124_1,0.462829592799711,0.321720951502475
SRR7510114_1,-0.940443009107959,-0.478544402554981
SRR7510115_1,-0.935795028619066,-0.437952274180699
SRR7510095_1,-0.959259685442453,1.13975966377031
SRR7510121_1,0.532893727440264,0.261337688234466
SRR7510085_1,-0.789062159740152,-0.797607223405975
SRR7510132_1,0.448623473002009,0.148126360947001
SRR7510105_1,0.540814690630519,0.70200293633381
SRR7510104_1,0.523200261616149,0.659182551052089
SRR7510128_1,0.469116968479881,0.140635502613742
SRR7510101_1,0.538937280812409,0.640929909862484
SRR7510106_1,0.578946091789665,0.731774346822847
SRR7510086_1,-0.853929834428834,-0.760166033914639
SRR7510123_1,0.465301130179474,0.290788279284622
SRR7510140_1,0.509647874258883,-0.718452081067073
SRR7510142_1,0.522050938462613,-0.692858995780592
SRR7510147_1,0.651739374774333,-0.251062605051088
SRR7510149_1,0.60700724616292,-0.272725130638354
SRR7510150_1,0.598310529560418,-0.276282871846866
SRR7510141_1,0.529689719116727,-0.720195376913068
SRR7510094_1,-0.95347929951717,1.07555335823235
SRR7510096_1,-0.954389385866468,1.10639313407822
SRR7510084_1,-0.767926386010073,-0.804095576398003
SRR7510088_1,-0.831555330793869,-0.770096484564444
SRR7510130_1,0.436696516653346,0.170989800524564
SRR7510087_1,-0.820477813326422,-0.773592582682898
SRR7510139_1,0.57423503851812,-0.728732686293627
SRR7510138_1,0.574124310259713,-0.701703225268013
SRR7510137_1,0.592843864405977,-0.704772466017861
SRR7510122_1,0.469042244485171,0.304438318786113
SRR7510112_1,-0.885937010224602,-0.417119981418718
SRR7510110_1,-0.899204617456879,-0.438867735801491
SRR7510151_1,0.645415491210286,-0.276758594800039
SRR7510113_1,-0.930295877357334,-0.473081407948188
SRR7510111_1,-0.890875989770373,-0.421229644633016
SRR7510093_1,-0.960751675371892,1.09740950780563
SRR7510092_1,-0.961326508046698,1.07511414601608
SRR7510148_1,0.653739791629343,-0.298147625421992
SRR7510146_1,0.656272680307976,-0.277369634777863
