sample_id,treatment,biological_replicate,fastq1,fastq2
SRR7510086,geldanamycin,1,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/006/SRR7510086/SRR7510086_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/006/SRR7510086/SRR7510086_2.fastq.gz
SRR7510087,geldanamycin,1,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/007/SRR7510087/SRR7510087_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/007/SRR7510087/SRR7510087_2.fastq.gz
SRR7510088,geldanamycin,1,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/008/SRR7510088/SRR7510088_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/008/SRR7510088/SRR7510088_2.fastq.gz
SRR7510095,geldanamycin,2,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/005/SRR7510095/SRR7510095_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/005/SRR7510095/SRR7510095_2.fastq.gz
SRR7510096,geldanamycin,2,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/006/SRR7510096/SRR7510096_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/006/SRR7510096/SRR7510096_2.fastq.gz
SRR7510097,geldanamycin,2,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/007/SRR7510097/SRR7510097_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/007/SRR7510097/SRR7510097_2.fastq.gz
SRR7510104,geldanamycin,3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/004/SRR7510104/SRR7510104_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/004/SRR7510104/SRR7510104_2.fastq.gz
SRR7510105,geldanamycin,3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/005/SRR7510105/SRR7510105_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/005/SRR7510105/SRR7510105_2.fastq.gz
SRR7510106,geldanamycin,3,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/006/SRR7510106/SRR7510106_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/006/SRR7510106/SRR7510106_2.fastq.gz
SRR7510113,geldanamycin,4,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/003/SRR7510113/SRR7510113_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/003/SRR7510113/SRR7510113_2.fastq.gz
SRR7510114,geldanamycin,4,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/004/SRR7510114/SRR7510114_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/004/SRR7510114/SRR7510114_2.fastq.gz
SRR7510115,geldanamycin,4,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/005/SRR7510115/SRR7510115_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/005/SRR7510115/SRR7510115_2.fastq.gz
SRR7510122,geldanamycin,5,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/002/SRR7510122/SRR7510122_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/002/SRR7510122/SRR7510122_2.fastq.gz
SRR7510123,geldanamycin,5,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/003/SRR7510123/SRR7510123_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/003/SRR7510123/SRR7510123_2.fastq.gz
SRR7510124,geldanamycin,5,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/004/SRR7510124/SRR7510124_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/004/SRR7510124/SRR7510124_2.fastq.gz
SRR7510131,geldanamycin,6,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/001/SRR7510131/SRR7510131_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/001/SRR7510131/SRR7510131_2.fastq.gz
SRR7510132,geldanamycin,6,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/002/SRR7510132/SRR7510132_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR751/002/SRR7510132/SRR7510132_2.fastq.gz
