Rank	Score	Type	ID	Name	Description
8	97.78	cp	BRD-K02130563	panobinostat	HDAC inhibitor
10	97.36	cp	BRD-U82589721	HG-5-113-01	Protein kinase inhibitor
12	96.84	cp	BRD-K25504083	cytochalasin-d	Actin polymerization inhibitor
14	96.32	cp	BRD-K52313696	tacedinaline	HDAC inhibitor
20	95.7	cp	BRD-K68488863	ENMD-2076	FLT3 inhibitor
22	95.17	cp	BRD-K47983010	BX-795	IKK inhibitor
27	94.15	cp	BRD-K85606544	neratinib	EGFR inhibitor
35	93.35	cp	BRD-K64606589	apicidin	HDAC inhibitor
37	92.95	cp	BRD-K04546108	JAK3-inhibitor-VI	JAK inhibitor
43	92.25	cp	BRD-A87387433	cefpodoxime	Bacterial cell wall synthesis inhibitor
44	92.18	cp	BRD-K19894101	MST-312	Telomerase inhibitor
45	91.91	cp	BRD-K47869605	podophyllotoxin	Microtubule inhibitor
48	91.27	cp	BRD-K13646352	midostaurin	FLT3 inhibitor
56	89.75	cp	BRD-K06750613	GSK-1059615	PI3K inhibitor
69	88.51	cp	BRD-K99498722	NPI-2358	Tubulin inhibitor
71	88.41	cp	BRD-K50140147	NVP-TAE684	ALK inhibitor
76	87.8	cp	BRD-K68065987	MK-2206	AKT inhibitor
86	86.16	cp	BRD-K53665955	MK-5108	Aurora kinase inhibitor
87	86.06	cp	BRD-K49657628	tyrphostin-AG-18	EGFR inhibitor
88	85.9	cp	BRD-K59369769	tozasertib	Aurora kinase inhibitor
89	85.77	cp	BRD-K63265447	docetaxel	Tubulin inhibitor
94	85.15	cp	BRD-K17140735	SCH-79797	Proteasome inhibitor
95	84.95	cp	BRD-K11905747	spectinomycin	Bacterial 30S ribosomal subunit inhibitor
98	84.54	cp	BRD-K52751261	TAK-715	p38 MAPK inhibitor
100	84.4	cp	BRD-K82143716	flucytosine	Antifungal
106	83.07	cp	BRD-K50836978	purvalanol-a	CDK inhibitor
107	82.99	cp	BRD-K78431006	crizotinib	ALK inhibitor
111	82.66	cp	BRD-A55594068	vinblastine	Microtubule inhibitor
117	82.22	cp	BRD-K13566078	BMS-345541	IKK inhibitor
121	81.85	cp	BRD-K37865504	LY-2183240	FAAH inhibitor
129	81.18	cp	BRD-K04853698	LDN-193189	Serine/threonine kinase inhibitor
147	79.43	cp	BRD-K52911425	GDC-0941	PI3K inhibitor
149	79.09	cp	BRD-K82147103	lofepramine	Norepinephrine reuptake inhibitor
153	78.99	cp	BRD-K34581968	BMS-536924	IGF-1 inhibitor
155	78.66	cp	BRD-K33882852	ZK-93423	Benzodiazepine receptor agonist
159	78.49	cp	BRD-K35687265	ON-01910	PLK inhibitor
162	78.2	cp	BRD-K03981224	ethisterone	Progestogen hormone
168	77.68	cp	BRD-K78373679	RO-3306	CDK inhibitor
169	77.6	cp	BRD-U66370498	androstanol	CAR antagonist
173	77.49	cp	BRD-K07762753	aminopurvalanol-a	Tyrosine kinase inhibitor
178	77.26	cp	BRD-M30523314	vinorelbine	Tubulin inhibitor
183	76.89	cp	BRD-K98548675	parthenolide	NFkB pathway inhibitor
189	76.06	cp	BRD-A81772229	simvastatin	HMGCR inhibitor
200	75.26	cp	BRD-K37456065	VU-0365114-2	M5 modulator
203	75.01	cp	BRD-K64800655	PHA-793887	CDK inhibitor
