Rank	Score	Type	ID	Name	Description
1	99.98	cp	BRD-K12357156	AG-490	EGFR inhibitor
7	99.83	cp	BRD-A11135865	nor-binaltorphimine	Opioid receptor antagonist
8	99.8	cp	BRD-K06467078	corynanthine	Adrenergic receptor antagonist
21	99.56	cp	BRD-A67605442	tetrahydrobiopterin	Nitric oxide stimulant
22	99.56	cp	BRD-K92301463	16,16-dimethylprostaglandin-e2	Prostanoid receptor agonist
24	99.53	cp	BRD-A98299281	velnacrine	cholinesterase inhibitor
32	99.33	cp	BRD-A72483914	spiroxatrine	Serotonin receptor antagonist
35	99.24	cp	BRD-A00758722	noretynodrel	Progestogen hormone
63	98.45	cp	BRD-K05804044	AZ-628	RAF inhibitor
68	98.26	cp	BRD-K19796430	erismodegib	Smoothened receptor antagonist
85	97.88	cp	BRD-K96037667	norethindrone	Progesterone receptor agonist
90	97.73	cp	BRD-K02123250	JNJ-38877605	Tyrosine kinase inhibitor
92	97.62	cp	BRD-K51541829	RO-25-6981	Ionotropic glutamate receptor antagonist
93	97.58	cp	BRD-K82795137	loratadine	Histamine receptor antagonist
105	97.06	cp	BRD-K75641298	metoclopramide	Dopamine receptor antagonist
107	97.03	cp	BRD-K57011718	UK-356618	Metalloproteinase inhibitor
115	96.55	cp	BRD-K00675675	CL-82198	Metalloproteinase inhibitor
121	96.18	cp	BRD-K88568253	iproniazid	Monoamine oxidase inhibitor
124	96.12	cp	BRD-K77908580	entinostat	HDAC inhibitor
130	95.8	cp	BRD-K72093121	vidarabine	Antiviral
135	95.68	cp	BRD-K96263742	GW-7647	PPAR receptor agonist
139	95.42	cp	BRD-A33084410	5'-guanidinonaltrindole	Opioid receptor antagonist
141	95.4	cp	BRD-K80451230	zamifenacin	Acetylcholine receptor antagonist
148	95.14	cp	BRD-A87387433	cefpodoxime	Bacterial cell wall synthesis inhibitor
149	95.11	cp	BRD-K46678324	RHO-kinase-inhibitor-II	Rho associated kinase inhibitor
152	94.92	cp	BRD-A42553870	L-152804	Neuropeptide receptor antagonist
156	94.69	cp	BRD-K59273480	propentofylline	Adenosine reuptake inhibitor
166	94.26	cp	BRD-K02113016	olaparib	PARP inhibitor
168	94.19	cp	BRD-K78373679	RO-3306	CDK inhibitor
171	94.1	cp	BRD-A81402010	KU-C103443N	CDC inhibitor
172	94.05	cp	BRD-K43468059	byssochlamic-acid	Mycotoxin
175	93.92	cp	BRD-A55815733	phylloquinone	Vitamin K
178	93.85	cp	BRD-K63874012	thioperamide	Histamine receptor antagonist
188	93.39	cp	BRD-K67100011	pivmecillinam	Bacterial cell wall synthesis inhibitor
194	93.21	cp	BRD-K35531059	molsidomine	Guanylyl cyclase activator
200	92.94	cp	BRD-A83695761	chromanol	Potassium channel blocker
202	92.81	cp	BRD-K92049597	triamterene	Sodium channel blocker
204	92.8	cp	BRD-K01253243	SB-590885	RAF inhibitor
208	92.66	cp	BRD-A45664787	iloprost	Platelet aggregation inhibitor
214	92.37	cp	BRD-K32107296	temozolomide	DNA alkylating agent
217	92.19	cp	BRD-K82164249	andarine	Androgen receptor modulator
235	91.58	cp	BRD-K36009368	NNC-63-0532	Opioid receptor agonist
236	91.58	cp	BRD-K92870997	pterostilbene	Cyclooxygenase inhibitor
243	91.43	cp	BRD-K05181463	L-741626	Dopamine receptor antagonist
246	91.39	cp	BRD-K17415526	tyrphostin-AG-835	Protein tyrosine kinase inhibitor
247	91.39	cp	BRD-K07888196	tyrphostin-AG-538	IGF-1 inhibitor
253	91.02	cp	BRD-A87479750	tenidap	Cyclooxygenase inhibitor
254	90.99	cp	BRD-K25310650	ormetoprim	Bacterial antifolate
256	90.95	cp	BRD-A15034104	bergenin	Interleukin inhibitor
258	90.94	cp	BRD-K67080878	milrinone	Phosphodiesterase inhibitor
268	90.53	cp	BRD-A44133049	azasetron	Serotonin receptor antagonist
271	90.33	cp	BRD-K11373525	ZD-7155	Angiotensin receptor antagonist
273	90.25	cp	BRD-A15530910	carpindolol	Adrenergic receptor antagonist
274	90.24	cp	BRD-K75958195	pizotifen	Serotonin receptor antagonist
275	90.16	cp	BRD-K82091397	SB-239063	p38 MAPK inhibitor
278	90.08	cp	BRD-K52397688	amperozide	Dopamine receptor antagonist
279	90.05	cp	BRD-K04466929	Merck60	HDAC inhibitor
280	90.04	cp	BRD-A04308630	genipin	Choleretic agent
282	90.01	cp	BRD-K17306061	aprepitant	Tachykinin antagonist
284	89.98	cp	BRD-A39052811	mosapride	Serotonin receptor agonist
289	89.81	cp	BRD-K45068323	W-13	Calmodulin antagonist
290	89.81	cp	BRD-K21548250	moracizine	Sodium channel blocker
292	89.78	cp	BRD-K32536677	AGK-2	SIRT inhibitor
296	89.59	cp	BRD-A58955223	sulforaphane	Antineoplastic
297	89.54	cp	BRD-K87158025	benzamil	Sodium channel blocker
307	89.34	cp	BRD-U94846492	quinine	Hemozoin biocrystallization inhibitor
309	89.29	cp	BRD-K77947974	fluspirilene	Dopamine receptor antagonist
313	89	cp	BRD-K25875056	SC-9	Protein tyrosine kinase activator
316	88.87	cp	BRD-U44700465	HG-5-88-01	Protein kinase inhibitor
322	88.56	cp	BRD-A47144777	dihydro-7-desacetyldeoxygedunin	HSP inhibitor
323	88.47	cp	BRD-A52588987	SKF-83566	Dopamine receptor antagonist
324	88.46	cp	BRD-K68191783	ALW-II-38-3	Ephrin inhibitor
329	88.33	cp	BRD-K09963420	saquinavir	HIV protease inhibitor
337	88.09	cp	BRD-K93176058	AC-55649	Retinoid receptor agonist
339	87.97	cp	BRD-K96778649	tyrphostin-47	EGFR inhibitor
341	87.91	cp	BRD-K49890030	gavestinel	Glutamate receptor antagonist
342	87.91	cp	BRD-K70401845	erlotinib	EGFR inhibitor
343	87.88	cp	BRD-A90799790	isradipine	Calcium channel blocker
344	87.88	cp	BRD-A78295502	hydroquinine	Antiarrhythmic
345	87.85	cp	BRD-A25234499	aminoglutethimide	Glucocorticoid receptor antagonist
347	87.77	cp	BRD-A07824748	flavanone	11-beta-HSD1 inhibitor
348	87.75	cp	BRD-K31792052	pifithrin	Interleukin receptor antagonist
354	87.49	cp	BRD-K95992530	Cyclo-[Arg-Gly-Asp-D-Phe-Val]	integrin antagonist
355	87.48	cp	BRD-K32164935	tolazamide	ATP channel blocker
358	87.32	cp	BRD-K35723520	darinaparsin	Apoptosis stimulant
362	87.21	cp	BRD-K50325075	UCL-2077	Slow after hyperpolarization channel blocker
364	87.14	cp	BRD-K74913225	brinzolamide	Carbonic anhydrase inhibitor
369	86.92	cp	BRD-K68264559	brimonidine	Adrenergic receptor agonist
373	86.66	cp	BRD-K40624912	ZM-39923	JAK inhibitor
374	86.64	cp	BRD-K10176267	L-701252	Glutamate receptor antagonist
375	86.6	cp	BRD-K56403959	ZK-756326	CC chemokine receptor ligand
386	86.2	cp	BRD-K05396879	15-delta-prostaglandin-j2	PPAR receptor agonist
387	86.15	cp	BRD-K61192372	capecitabine	DNA synthesis inhibitor
394	86	cp	BRD-A35623999	CGP-37157	L-type calcium channel blocker
400	85.49	cp	BRD-K68065987	MK-2206	AKT inhibitor
403	85.36	cp	BRD-K41713976	E-4031	Potassium channel blocker
404	85.28	cp	BRD-K13800121	parecoxib	Cyclooxygenase inhibitor
412	84.85	cp	BRD-A17453586	MDL-72832	Serotonin receptor agonist
414	84.83	cp	BRD-A13122391	triptolide	RNA polymerase inhibitor
417	84.76	cp	BRD-K15409150	penfluridol	T-type calcium channel blocker
419	84.62	cp	BRD-A78322124	dobutamine	Adrenergic receptor agonist
420	84.59	cp	BRD-K69556541	ryanodine	Calcium channel blocker
424	84.45	cp	BRD-K96354014	nifedipine	Calcium channel blocker
425	84.41	cp	BRD-K00337317	NU-7441	DNA dependent protein kinase inhibitor
426	84.35	cp	BRD-K79124250	ioxaglic-acid	Radiopaque medium
428	84.24	cp	BRD-K28578425	cilostamide	Phosphodiesterase inhibitor
430	84.09	cp	BRD-K32398298	alprazolam	Benzodiazepine receptor agonist
432	84.05	cp	BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	NFkB pathway inhibitor
436	83.84	cp	BRD-K80738081	resveratrol	Cytochrome P450 inhibitor
437	83.74	cp	BRD-K63516691	T-0156	Phosphodiesterase inhibitor
