Rank	Score	Type	ID	Name	Description
14	96.05	cp	BRD-K30677119	PP-30	RAF inhibitor
22	95.08	cp	BRD-K70577657	H-9	PKA inhibitor
26	94.39	cp	BRD-K61737877	VEGF-receptor-2-kinase-inhibitor-IV	VEGFR inhibitor
33	93.07	cp	BRD-K82147103	lofepramine	Norepinephrine reuptake inhibitor
35	92.76	cp	BRD-K41903098	diphenoxylate	Opioid receptor agonist
37	92.56	cp	BRD-A34208323	VU-0404997-2	Glutamate receptor modulator
46	91.37	cp	BRD-K52313696	tacedinaline	HDAC inhibitor
48	90.72	cp	BRD-A72483914	spiroxatrine	Serotonin receptor antagonist
54	90.06	cp	BRD-K51751936	alfadolone	GABA receptor agonist
60	88.92	cp	BRD-A73741725	exemestane	Aromatase inhibitor
62	88.86	cp	BRD-K72222507	quinapril	ACE inhibitor
64	88.19	cp	BRD-K29733039	deforolimus	MTOR inhibitor
69	87.69	cp	BRD-A80928489	1-monopalmitin	P-glycoprotein inhibitor
71	87.66	cp	BRD-K63516691	T-0156	Phosphodiesterase inhibitor
75	87.28	cp	BRD-K80672993	M2-PK-activator	-666
84	85.87	cp	BRD-K14329163	BAY-K8644	Calcium channel activator
87	85.66	cp	BRD-K77908580	entinostat	HDAC inhibitor
94	85.01	cp	BRD-K93460210	lamotrigine	Serotonin receptor antagonist
97	84.61	cp	BRD-A62025033	temsirolimus	MTOR inhibitor
117	81.68	cp	BRD-K17415526	tyrphostin-AG-835	Protein tyrosine kinase inhibitor
136	79.71	cp	BRD-K13566078	BMS-345541	IKK inhibitor
139	79.66	cp	BRD-K60476892	YC-1	Guanylyl cyclase activator
140	79.59	cp	BRD-K80325895	eicosadienoic-acid	-666
150	78.4	cp	BRD-K40990712	hexamethyleneamiloride	Sodium/hydrogen antiport inhibitor
153	78.14	cp	BRD-K99749624	linifanib	PDGFR receptor inhibitor
156	77.81	cp	BRD-K11558771	droxinostat	HDAC inhibitor
161	77.06	cp	BRD-K26997899	SA-792574	Microtubule inhibitor
168	76.21	cp	BRD-A74980173	gatifloxacin	Bacterial DNA gyrase inhibitor
179	75	cp	BRD-K51941867	LM-1685	Cyclooxygenase inhibitor
